Catchment,Domain,Indicator,Unit,Sheep + Beef  (SEPP),Sheep + Beef  (Non-SEPP),Dairy (SEPP),Dairy (Non-SEPP),Dairy support/high intensity beef or dairy grazing (SEPP),Dairy support/high intensity beef or dairy grazing (Non-SEPP),Deer (SEPP),Deer (Non-SEPP),Arable/vegetables,Kiwifruit,Other horticulture,Forestry - Exotic,Forestry - Indigenous pre-1990,Forestry - Indigenous post-1989,Parks and Recreation,Wetlands,Urban/road/rail,Lifestyle block or mixed land use (SEPP),Lifestyle block or mixed land use (Non-SEPP),Hydro,Other,Scrub,Custom Land Use A,Custom Land Use B,Custom Land Use C
Waitahanui,Social,Housing affordability,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitahanui,Social,Life satisfaction (current),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitahanui,Social,Life satisfaction (future),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitahanui,Social,Sense of belonging,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,6.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Whakatāne,Economic,Value-added - Direct impact,$/ha/year,429.0,608.0,2421.0,5764.0,421.0,1003.0,190.0,452.0,3566.0,72884.0,18890.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whakatāne,Economic,Value-added - Direct & indirect impacts,$/ha/year,696.0,988.0,3360.0,8001.0,585.0,1392.0,326.0,777.0,5792.0,120438.0,31216.0,759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whakatāne,Economic,"Value-added - Direct, indirect & induced impacts",$/ha/year,910.0,1291.0,4550.0,10833.0,792.0,1885.0,444.0,1056.0,7566.0,166639.0,43190.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whakatāne,Economic,Employment - Direct impact,MEC/ha,0.0032,0.0045,0.0118,0.0281,0.0021,0.0049,0.0029,0.0069,0.0262,0.5211,0.1351,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whakatāne,Economic,Employment - Direct & indirect impacts,MEC/ha,0.0056,0.008,0.021,0.05,0.0037,0.0087,0.0043,0.0102,0.047,1.0313,0.2673,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whakatāne,Economic,"Employment - Direct, indirect & induced impacts",MEC/ha,0.0069,0.0098,0.0278,0.0662,0.0048,0.0115,0.005,0.0118,0.0572,1.2935,0.3353,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whakatāne,Economic,Land value,$/ha,10086.0,10086.0,23414.0,23414.0,10086.0,10086.0,30391.0,30391.0,32609.0,124339.0,143984.0,2361.0,571.0,571.0,171655.0,0.0,4918635.0,166713.0,166713.0,0.0,80913.0,0.0,0.0,0.0,0.0
Whakatāne,Economic,Income,$/ha,159.26080000000002,223.9605,692.8016,1649.8072,102.8412,239.9628,145.8468,347.0148,976.474,19960.2144,5174.8704,47.45099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whakatāne,Environmental,N loss,kg/ha/year,36.0,36.0,67.0,67.0,28.0,28.0,25.0,25.0,60.0,25.0,27.0,2.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whakatāne,Environmental,P loss,kg/ha/year,1.0,1.0,1.2,1.2,2.0,2.0,1.5,1.5,2.4,0.5,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whakatāne,Environmental,Sediment loss,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Whakatāne,Environmental,E.coli loss,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,4.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0
Whakatāne,Environmental,River water quality,Scoring,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,8.0,10.0,10.0,10.0,8.0,4.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0
Whakatāne,Environmental,Freshwater invertebrates,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,10.0,10.0,10.0,6.0,10.0,2.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Whakatāne,Environmental,Estuarine health,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Whakatāne,Environmental,Groundwater quality,Scoring,6.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,8.0,10.0,10.0,8.0,10.0,4.0,4.0,4.0,6.0,6.0,8.0,0.0,0.0,0.0
Whakatāne,Environmental,Pressure on water quantity,Scoring,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0
Whakatāne,Environmental,Soil quality,Scoring,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,3.0,6.0,6.0,9.0,10.0,10.0,3.0,10.0,1.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0
Whakatāne,Environmental,Biodiversity,Scoring,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,7.0,10.0,10.0,2.0,10.0,1.0,5.0,5.0,10.0,0.0,8.0,0.0,0.0,0.0
Whakatāne,Environmental,GHG emissions,tCO2-e/ha/year,1.25375,2.5075,4.099,8.198,2.7030000000000003,5.406000000000001,4.75,9.5,3.1,1.25,0.526,-36.565,0.0,-7.973,0.0,-1.7,113.0,0.626875,1.25375,0.0,0.0,-3.9865,0.0,0.0,0.0
Whakatāne,Social,Connection to nature,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Whakatāne,Social,Access to basic amenities,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,8.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Whakatāne,Social,Housing affordability,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Whakatāne,Social,Life satisfaction (current),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Whakatāne,Social,Life satisfaction (future),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Whakatāne,Social,Sense of belonging,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,6.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Catchment,Economic,Value-added - Direct impact,$/ha/year,429.0,608.0,2421.0,5764.0,421.0,1003.0,190.0,452.0,3566.0,72884.0,18890.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Catchment,Economic,Value-added - Direct & indirect impacts,$/ha/year,633.0,898.0,3222.0,7671.0,561.0,1335.0,298.0,710.0,5263.0,116836.0,30282.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Catchment,Economic,"Value-added - Direct, indirect & induced impacts",$/ha/year,770.0,1092.0,3998.0,9520.0,696.0,1657.0,381.0,908.0,6403.0,151221.0,39194.0,899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Catchment,Economic,Employment - Direct impact,MEC/ha,0.0032,0.0045,0.0118,0.0281,0.0021,0.0049,0.0032,0.0077,0.0265,0.458,0.1187,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Catchment,Economic,Employment - Direct & indirect impacts,MEC/ha,0.0051,0.0073,0.0198,0.0471,0.0034,0.0082,0.0043,0.0103,0.0428,0.9355,0.2425,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Catchment,Economic,"Employment - Direct, indirect & induced impacts",MEC/ha,0.006,0.0086,0.0249,0.0592,0.0043,0.0103,0.0049,0.0116,0.0503,1.1607,0.3008,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Catchment,Economic,Land value,$/ha,14997.0,14997.0,28320.0,28320.0,14997.0,14997.0,30391.0,30391.0,124485.0,134011.0,140289.0,5036.0,1347.0,1347.0,214357.0,0.0,4330235.0,239476.0,239476.0,0.0,135290.0,0.0,0.0,0.0,0.0
Custom Catchment,Economic,Income,$/ha,159.26080000000002,223.9605,692.8016,1649.8072,102.8412,239.9628,160.9344,387.2484,987.655,17543.232,4546.6848,47.45099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Catchment,Environmental,N loss,kg/ha/year,26.0,26.0,56.0,56.0,28.0,28.0,25.0,25.0,59.0,25.0,27.0,2.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Catchment,Environmental,P loss,kg/ha/year,2.3,2.3,2.3,2.3,2.0,2.0,1.5,1.5,2.4,0.5,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Catchment,Environmental,Sediment loss,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Custom Catchment,Environmental,E.coli loss,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,4.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0
Custom Catchment,Environmental,River water quality,Scoring,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,8.0,10.0,10.0,10.0,9.0,4.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0
Custom Catchment,Environmental,Freshwater invertebrates,Scoring,4.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,9.0,10.0,10.0,5.0,10.0,2.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Custom Catchment,Environmental,Estuarine health,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Custom Catchment,Environmental,Groundwater quality,Scoring,5.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,8.0,10.0,9.0,8.0,10.0,4.0,4.0,4.0,6.0,6.0,8.0,0.0,0.0,0.0
Custom Catchment,Environmental,Pressure on water quantity,Scoring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Catchment,Environmental,Soil quality,Scoring,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,3.0,6.0,6.0,9.0,10.0,10.0,3.0,10.0,1.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0
Custom Catchment,Environmental,Biodiversity,Scoring,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,7.0,10.0,10.0,2.0,10.0,1.0,5.0,5.0,10.0,0.0,8.0,0.0,0.0,0.0
Custom Catchment,Environmental,GHG emissions,tCO2-e/ha/year,1.25375,2.5075,4.099,8.198,2.7030000000000003,5.406000000000001,4.75,9.5,3.1,1.25,0.526,-36.565,0.0,-7.973,0.0,-1.7,113.0,0.626875,1.25375,0.0,0.0,-3.9865,0.0,0.0,0.0
Custom Catchment,Social,Connection to nature,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Catchment,Social,Access to basic amenities,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,8.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Catchment,Social,Housing affordability,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Catchment,Social,Life satisfaction (current),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Catchment,Social,Life satisfaction (future),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Catchment,Social,Sense of belonging,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,6.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
